Current Time,Command Name,Command Line,Status,hError
[2026-09-01T16:01:06Z],WdSupportLogs,"C:\Windows\system32\cmd.exe /C """"%ProgramFiles%\Windows Defender\mpcmdrun.exe"" -GetFiles & copy ""%programdata%\Microsoft\Windows Defender\Support\MPSupportFiles.cab"" ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\ee2ebdf7-3de9-4873-8fb3-e4c413f979a8\WdSupportLogs"" """,Completed,0
[2026-09-01T16:01:06Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-500\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-01T16:01:06Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-504\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-01T16:01:06Z],hkcu_Software_Microsoft_Windows_Explorer_RunMRU,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-1000\SOFTWARE\Microsoft\Windows\Explorer\RunMRU"" /s",Completed,0
[2026-09-01T16:01:06Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\Mac\AppData\Local\Temp""",Completed,0
[2026-09-01T16:01:06Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\WDAGUtilityAccount\AppData\Local\Temp""",Completed,0
[2026-09-01T16:01:06Z],TempDirFiles,"C:\Windows\system32\cmd.exe /C ""dir /A /Q /S /T ""C:\Users\administrator\AppData\Local\Temp""",Completed,0
[2026-09-01T16:01:06Z],ActiveNetConnections,"C:\Windows\system32\netstat.exe -abno",Completed,0
[2026-09-01T16:01:09Z],ScheduledTasks,"C:\Windows\system32\schtasks.exe /query /v /fo CSV",Completed,0
[2026-09-01T16:01:09Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-500\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-01T16:01:09Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-504\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-01T16:01:09Z],UserInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""HKEY_USERS\S-1-5-21-1182323251-63060258-113523888-1000\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-01T16:01:09Z],Wow6432NodeInstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-01T16:01:09Z],InstalledPrograms,"C:\Windows\system32\reg.exe QUERY ""hklm\Software\Microsoft\Windows\CurrentVersion\Uninstall"" /s",Completed,0
[2026-09-01T16:01:10Z],LocalGroups,"C:\Windows\system32\cmd.exe /C ""for /f ""delims=*"" %x in ('net localgroup ^|find ""*""') do net localgroup ""%x""""",Completed,0
[2026-09-01T16:01:10Z],AddressResolutionProtocolCache,"C:\Windows\system32\arp.exe -a",Completed,0
[2026-09-01T16:01:10Z],DnsCache,"C:\Windows\system32\ipconfig.exe /displaydns",Completed,0
[2026-09-01T16:01:11Z],SecurityEventLog,"C:\Windows\system32\wevtutil.exe epl Security ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\CollectedData\ee2ebdf7-3de9-4873-8fb3-e4c413f979a8\Security Event Log\Security.evtx"" /q:""*[System[TimeCreated[@SystemTime >= '2026-08-25T00:00:00']]]"" /ow:true",Completed,0
[2026-09-01T16:01:11Z],IpConfig,"C:\Windows\system32\ipconfig.exe /all",Completed,0
