TimeGenerated,ActionType,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName
"Sep 1, 2026 1:28:44 PM",SslConnectionInspected,20.190.151.9,443,,Tcp,,
"Sep 1, 2026 1:28:44 PM",SslConnectionInspected,4.152.89.97,443,,Tcp,,
"Sep 1, 2026 1:29:00 PM",ConnectionAttempt,93.152.224.9,41608,,TcpV4,,
"Sep 1, 2026 1:29:14 PM",ConnectionAttempt,64.62.156.78,60133,,TcpV4,,
"Sep 1, 2026 1:29:28 PM",ConnectionAttempt,162.216.150.235,51257,,TcpV4,,
"Sep 1, 2026 1:29:36 PM",ConnectionAttempt,160.119.76.210,40030,,TcpV4,,
"Sep 1, 2026 1:29:38 PM",ConnectionAttempt,35.203.211.251,52808,,TcpV4,,
"Sep 1, 2026 1:29:42 PM",ConnectionAttempt,147.185.132.217,51026,,TcpV4,,
"Sep 1, 2026 1:29:42 PM",ConnectionAttempt,130.12.180.246,47072,,TcpV4,,
"Sep 1, 2026 1:29:46 PM",ConnectionAttempt,195.182.16.23,46498,,TcpV4,,
"Sep 1, 2026 1:29:48 PM",ConnectionAttempt,147.185.132.101,53394,,TcpV4,,
"Sep 1, 2026 1:30:12 PM",ConnectionAttempt,107.173.37.138,48504,,TcpV4,,
"Sep 1, 2026 1:30:24 PM",ConnectionAttempt,35.203.210.43,50198,,TcpV4,,
"Sep 1, 2026 1:30:41 PM",ConnectionAttempt,64.62.156.110,38697,,TcpV4,,
"Sep 1, 2026 1:30:47 PM",ConnectionAttempt,66.240.236.119,31667,,TcpV4,,
"Sep 1, 2026 1:30:49 PM",ConnectionAttempt,20.102.101.56,52681,,TcpV4,,
"Sep 1, 2026 1:30:51 PM",ConnectionAttempt,147.185.133.77,52332,,TcpV4,,
"Sep 1, 2026 1:30:53 PM",ConnectionAttempt,162.216.149.151,56587,,TcpV4,,
"Sep 1, 2026 1:30:59 PM",ConnectionAttempt,160.119.76.24,40003,,TcpV4,,
"Sep 1, 2026 1:31:07 PM",ConnectionAttempt,213.209.159.26,40555,,TcpV4,,
"Sep 1, 2026 1:31:11 PM",ConnectionAttempt,35.203.211.30,56111,,TcpV4,,
"Sep 1, 2026 1:31:13 PM",ConnectionAttempt,130.12.180.246,60341,,TcpV4,,
"Sep 1, 2026 1:31:27 PM",ConnectionAttempt,45.156.128.78,17520,,TcpV4,,
"Sep 1, 2026 1:31:37 PM",ConnectionAttempt,91.230.168.77,57920,,TcpV4,,
"Sep 1, 2026 1:31:47 PM",ConnectionAttempt,35.203.210.98,56564,,TcpV4,,
"Sep 1, 2026 1:31:57 PM",ConnectionAttempt,64.62.156.181,40889,,TcpV4,,
"Sep 1, 2026 1:31:59 PM",InboundConnectionAccepted,20.102.101.56,34788,,Tcp,network service,svchost.exe
"Sep 1, 2026 1:32:01 PM",InboundInternetScanInspected,10.2.0.23,3389,,Tcp,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34880,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34880,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34880,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34881,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34881,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34880,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34881,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34881,,TcpV4,,
"Sep 1, 2026 1:32:21 PM",ConnectionAttempt,40.75.131.157,34880,,TcpV4,,
"Sep 1, 2026 1:32:23 PM",ConnectionAttempt,193.163.125.142,44959,,TcpV4,,
"Sep 1, 2026 1:32:33 PM",ConnectionAttempt,91.230.168.129,7625,,TcpV4,,
"Sep 1, 2026 1:32:33 PM",ConnectionAttempt,35.203.210.205,55875,,TcpV4,,
"Sep 1, 2026 1:32:59 PM",ConnectionAttempt,130.12.180.246,39441,,TcpV4,,
"Sep 1, 2026 1:33:09 PM",ConnectionAttempt,35.203.210.59,56231,,TcpV4,,
"Sep 1, 2026 1:33:11 PM",InboundConnectionAccepted,64.62.156.172,56500,,Tcp,system,svchost.exe
"Sep 1, 2026 1:33:11 PM",ConnectionAttempt,64.62.156.172,56500,,TcpV4,,
"Sep 1, 2026 1:33:13 PM",ConnectionAttempt,94.154.43.126,43566,,TcpV4,,
"Sep 1, 2026 1:33:17 PM",ConnectionAttempt,156.225.1.71,58914,,TcpV4,,
"Sep 1, 2026 1:33:23 PM",ConnectionAttempt,35.203.210.85,51957,,TcpV4,,
"Sep 1, 2026 1:33:25 PM",ConnectionAttempt,91.196.152.233,35695,,TcpV4,,
"Sep 1, 2026 1:33:35 PM",ConnectionAttempt,91.231.89.61,34643,,TcpV4,,
"Sep 1, 2026 1:33:39 PM",ConnectionAttempt,45.156.128.109,20604,,TcpV4,,
"Sep 1, 2026 1:33:39 PM",ConnectionAttempt,167.99.241.118,48208,,TcpV4,,
"Sep 1, 2026 1:33:49 PM",ConnectionSuccess,23.15.3.198,80,ctldl.windowsupdate.com,Tcp,network service,svchost.exe
"Sep 1, 2026 1:33:49 PM",ConnectionAcknowledged,23.15.3.198,80,,TcpV4,,
"Sep 1, 2026 1:33:49 PM",HttpConnectionInspected,23.15.3.198,80,,Tcp,,
"Sep 1, 2026 1:33:51 PM",ConnectionAttempt,79.124.58.18,49429,,TcpV4,,
"Sep 1, 2026 1:34:01 PM",ConnectionAttempt,162.216.150.14,56661,,TcpV4,,
"Sep 1, 2026 1:34:09 PM",ConnectionAttempt,65.49.1.31,49016,,TcpV4,,
"Sep 1, 2026 1:34:09 PM",ConnectionAttempt,35.203.211.61,55669,,TcpV4,,
"Sep 1, 2026 1:34:17 PM",ConnectionAttempt,216.25.89.114,50434,,TcpV4,,
"Sep 1, 2026 1:34:17 PM",ConnectionAttempt,66.132.172.124,18546,,TcpV4,,
"Sep 1, 2026 1:34:33 PM",ConnectionAttempt,162.216.150.56,56449,,TcpV4,,
