TimeGenerated,DeviceName,Username,IpAddress,ActionType,RawData
"Sep 2, 2026 11:56:13 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T15:56:13.141284Z    39 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 11:56:12 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T15:56:12.039425Z    37 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 11:56:12 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T15:56:12.587797Z    38 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 11:56:11 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T15:56:11.360873Z    36 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 10:31:14 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T14:31:14.022221Z    34 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 10:31:13 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T14:31:13.468454Z    33 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 10:31:13 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T14:31:12.904601Z    32 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 10:31:12 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T14:31:12.216267Z    31 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 9:13:03 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T13:13:02.865180Z    28 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 9:13:02 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T13:13:02.294743Z    27 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 9:13:01 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T13:13:01.609538Z    26 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 8:33:22 AM",datafiles-corp-s01,root,77.90.185.21,LogonSuccess,2026-09-02T12:33:22.129604Z    24 Connect root@77.90.185.21 on  using SSL/TLS
"Sep 2, 2026 8:33:21 AM",datafiles-corp-s01,admin,77.90.185.21,LogonFailure,2026-09-02T12:33:20.987679Z    22 Connect Access denied for user 'admin'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 8:33:21 AM",datafiles-corp-s01,sa,77.90.185.21,LogonFailure,2026-09-02T12:33:21.559357Z    23 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 8:33:20 AM",datafiles-corp-s01,root,77.90.185.21,LogonFailure,2026-09-02T12:33:20.302398Z    21 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 7:55:05 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T11:55:05.683647Z    19 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 7:55:05 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T11:55:05.006722Z    18 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 7:55:04 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T11:55:04.435774Z    17 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 7:55:03 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T11:55:03.750242Z    16 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 7:21:16 AM",datafiles-corp-s01,,35.205.193.184,LogonFailure,2026-09-02T11:21:15.889628Z    10 Connect Access denied for user ''@'35.205.193.184' (using password: NO)
"Sep 2, 2026 7:21:16 AM",datafiles-corp-s01,root,35.205.193.184,LogonSuccess,2026-09-02T11:21:16.193448Z    11 Connect root@35.205.193.184 on  using TCP/IP
"Sep 2, 2026 7:21:16 AM",datafiles-corp-s01,client,,LogonSuccess,2026-09-02T11:21:16.193404Z    11 Connect Client does not support authentication protocol requested by server; consider upgrading MySQL client
"Sep 2, 2026 4:00:33 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T08:00:33.050407Z   156 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 4:00:32 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T08:00:32.473011Z   155 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:00:31 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T08:00:31.807395Z   154 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 4:00:31 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T08:00:31.229497Z   153 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 3:43:17 AM",datafiles-corp-s01,,,LogonSuccess,2026-09-02T07:43:17.480606Z   151 Connect 
"Sep 2, 2026 3:42:54 AM",datafiles-corp-s01,,,LogonSuccess,2026-09-02T07:42:54.546953Z   150 Connect 
"Sep 2, 2026 2:42:35 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T06:42:35.006044Z   149 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 2:42:34 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T06:42:34.440286Z   148 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 2:42:33 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T06:42:33.203489Z   146 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 2:42:33 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T06:42:33.754321Z   147 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 1:24:14 AM",datafiles-corp-s01,root,77.90.185.30,LogonSuccess,2026-09-02T05:24:14.064603Z   142 Connect root@77.90.185.30 on  using SSL/TLS
"Sep 2, 2026 1:24:13 AM",datafiles-corp-s01,sa,77.90.185.30,LogonFailure,2026-09-02T05:24:13.496746Z   141 Connect Access denied for user 'sa'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 1:24:12 AM",datafiles-corp-s01,admin,77.90.185.30,LogonFailure,2026-09-02T05:24:12.837905Z   140 Connect Access denied for user 'admin'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 1:24:12 AM",datafiles-corp-s01,root,77.90.185.30,LogonFailure,2026-09-02T05:24:12.282720Z   139 Connect Access denied for user 'root'@'77.90.185.30' (using password: NO)
"Sep 2, 2026 1:03:14 AM",datafiles-corp-s01,root,77.90.185.21,LogonSuccess,2026-09-02T05:03:14.739849Z   137 Connect root@77.90.185.21 on  using SSL/TLS
"Sep 2, 2026 1:03:14 AM",datafiles-corp-s01,sa,77.90.185.21,LogonFailure,2026-09-02T05:03:14.181824Z   136 Connect Access denied for user 'sa'@'77.90.185.21' (using password: NO)
"Sep 2, 2026 1:03:13 AM",datafiles-corp-s01,root,77.90.185.21,LogonFailure,2026-09-02T05:03:12.951619Z   134 Connect Access denied for user 'root'@'77.90.185.21' (using password: NO)
